#Fitness:-0.417381, A: 37456.6, E: 81646, NS: 1.5901, yinf: 0.236859
#Time,Temp,Exp,Model
2964,543.48,0.9086,0.918231
2973,544.3,0.9069,0.916103
2983,545.13,0.9053,0.913688
2992,545.94,0.9036,0.911467
3002,546.77,0.9019,0.908947
3011,547.6,0.9003,0.906631
3021,548.41,0.8984,0.904003
3030,549.24,0.8966,0.90159
3040,550.08,0.8946,0.898853
3049,550.9,0.8927,0.896341
3059,551.71,0.8906,0.893493
3068,552.53,0.8883,0.89088
3078,553.35,0.8863,0.887919
3087,554.16,0.8839,0.885204
3097,554.97,0.8817,0.882129
3106,555.77,0.8794,0.879309
3116,556.6,0.8773,0.876119
3125,557.4,0.8748,0.873195
3135,558.21,0.8725,0.869887
3144,559.01,0.87,0.866858
3154,559.81,0.8672,0.863432
3163,560.63,0.8644,0.860297
3173,561.43,0.8616,0.856753
3182,562.22,0.8591,0.853511
3192,563.03,0.8564,0.849849
3201,563.82,0.8535,0.8465
3211,564.62,0.8505,0.84272
3220,565.41,0.8475,0.839264
3230,566.22,0.8445,0.835366
3239,567.02,0.8415,0.831805
3249,567.82,0.8386,0.82779
3258,568.63,0.8353,0.824124
3268,569.47,0.8318,0.819993
3277,570.26,0.8286,0.816223
3287,571.07,0.825,0.811978
3296,571.9,0.8215,0.808106
3306,572.71,0.818,0.803748
3315,573.53,0.8146,0.799776
3325,574.34,0.8106,0.795308
3334,575.15,0.807,0.791239
3344,575.95,0.803,0.786664
3353,576.74,0.7991,0.782499
3363,577.53,0.7951,0.77782
3372,578.3,0.7909,0.773563
3382,579.07,0.7869,0.768784
3391,579.82,0.7826,0.764439
3401,580.57,0.7782,0.759564
3410,581.33,0.774,0.755134
3420,582.07,0.7696,0.750167
3429,582.81,0.7652,0.745657
3439,583.56,0.7606,0.740603
3448,584.31,0.7562,0.736017
3458,585.09,0.7518,0.730882
3467,585.87,0.7474,0.726226
3477,586.68,0.7429,0.721015
3486,587.49,0.7382,0.716293
3496,588.31,0.7334,0.711012
3505,589.14,0.7286,0.706231
3515,589.97,0.7237,0.700887
3524,590.82,0.7189,0.696051
3534,591.65,0.714,0.690651
3543,592.5,0.7091,0.685768
3553,593.35,0.7041,0.680318
3562,594.2,0.6991,0.675394
3572,595.04,0.6939,0.669902
3581,595.88,0.6888,0.664943
3591,596.71,0.6835,0.659417
3600,597.54,0.6782,0.65443
3610,598.37,0.6732,0.648877
3619,599.19,0.6679,0.64387
3629,600.02,0.6625,0.638298
3638,600.83,0.6572,0.633277
